Make,Model,Vehicle Class,Engine Size(L),Cylinders,Transmission,Fuel Type,Fuel Consumption City (L/100 km),Fuel Consumption Hwy (L/100 km),Fuel Consumption Comb (L/100 km),Fuel Consumption Comb (mpg),CO2 Emissions(g/km)
ASTON MARTIN,V8 VANTAGE S,?,4.7,8,AM7,Z,17.4,11.3,14.7,19,338
ACURA,TL AWD,?,3.7,6,M6,Z,13.4,9.5,11.6,24,267
AUDI,A7 QUATTRO TDI (modified),?,3,6,AS8,D,9.8,6.2,8.1,35,217
BENTLEY,CONTINENTAL GT,?,4,8,AS8,Z,16.3,9.8,13.4,21,314
BMW,320i,?,2,4,A8,Z,10,6.5,8.4,34,193
BUICK,ENCLAVE,?,3.6,6,A6,X,14.3,9.9,12.3,23,283
CADILLAC,ATS AWD,?,2,4,AS6,Z,11.8,8.1,10.1,28,232
CHEVROLET,CAMARO,?,3.6,6,M6,X,14.2,8.6,11.7,24,269
DODGE,AVENGER FFV,?,3.6,6,A6,E,17,11.2,14.4,20,230
FIAT,500 ABARTH CABRIO,?,1.4,4,M5,X,8.5,6.9,7.8,36,179
FORD,C-MAX HYBRID,?,2,4,AV,X,5.6,6.4,6,47,138
GMC,SIERRA 4WD,?,4.3,6,A6,X,14.2,10.6,12.6,22,290
HONDA,CROSSTOUR AWD,?,3.5,6,A6,X,12.5,8.5,10.7,26,246
HYUNDAI,SANTA FE,?,3.3,6,A6,X,13,9.1,11.2,25,258
JAGUAR,XKR COUPE,?,5,8,AS6,Z,15.6,10.9,13.5,21,310
KIA,FORTE 5,?,2,4,M6,X,9.8,7,8.5,33,196
MERCEDES-BENZ,AMG S 63 4MATIC+,?,4,8,A9,Z,14.1,8.9,11.8,24,275
LAND ROVER,RANGE ROVER SPORT V8 5.0 SC FFV,?,5,8,AS8,E,24,16.6,20.7,14,331
LINCOLN,MKT LIVERY,?,2,4,AS6,X,11.5,8.5,10.2,28,235
